quarter,personal_characteristics,position_begin,position_end,number_of_persons
2004-4,Job level: scientific,unemployed,non labourforce,
2004-4,Job level: scientific,non labourforce,TOTAL,2
2004-4,Job level: scientific,non labourforce,employed,2
2004-4,Job level: scientific,non labourforce,unemployed,
2004-4,Job level: scientific,non labourforce,non labourforce,
2005-1,TOTAL,TOTAL,TOTAL,10935
2005-1,TOTAL,TOTAL,employed,6959
2005-1,TOTAL,TOTAL,unemployed,493
2005-1,TOTAL,TOTAL,non labourforce,3483
2005-1,TOTAL,employed,TOTAL,6881
2005-1,TOTAL,employed,employed,6721
2005-1,TOTAL,employed,unemployed,65
2005-1,TOTAL,employed,non labourforce,95
2005-1,TOTAL,unemployed,TOTAL,510
2005-1,TOTAL,unemployed,employed,106
2005-1,TOTAL,unemployed,unemployed,275
2005-1,TOTAL,unemployed,non labourforce,128
2005-1,TOTAL,non labourforce,TOTAL,3544
2005-1,TOTAL,non labourforce,employed,132
2005-1,TOTAL,non labourforce,unemployed,153
2005-1,TOTAL,non labourforce,non labourforce,3259
2005-1,Gender: male,TOTAL,TOTAL,5516
2005-1,Gender: male,TOTAL,employed,4081
2005-1,Gender: male,TOTAL,unemployed,253
2005-1,Gender: male,TOTAL,non labourforce,1182
2005-1,Gender: male,employed,TOTAL,4041
2005-1,Gender: male,employed,employed,3965
2005-1,Gender: male,employed,unemployed,34
2005-1,Gender: male,employed,non labourforce,42
2005-1,Gender: male,unemployed,TOTAL,252
2005-1,Gender: male,unemployed,employed,54
2005-1,Gender: male,unemployed,unemployed,155
2005-1,Gender: male,unemployed,non labourforce,44
2005-1,Gender: male,non labourforce,TOTAL,1222
2005-1,Gender: male,non labourforce,employed,62
2005-1,Gender: male,non labourforce,unemployed,64
2005-1,Gender: male,non labourforce,non labourforce,1096
2005-1,Gender: female,TOTAL,TOTAL,5419
2005-1,Gender: female,TOTAL,employed,2878
2005-1,Gender: female,TOTAL,unemployed,240
2005-1,Gender: female,TOTAL,non labourforce,2301
2005-1,Gender: female,employed,TOTAL,2840
2005-1,Gender: female,employed,employed,2756
2005-1,Gender: female,employed,unemployed,31
2005-1,Gender: female,employed,non labourforce,53
2005-1,Gender: female,unemployed,TOTAL,258
2005-1,Gender: female,unemployed,employed,52
2005-1,Gender: female,unemployed,unemployed,121
2005-1,Gender: female,unemployed,non labourforce,85
2005-1,Gender: female,non labourforce,TOTAL,2322
2005-1,Gender: female,non labourforce,employed,70
2005-1,Gender: female,non labourforce,unemployed,89
2005-1,Gender: female,non labourforce,non labourforce,2163
2005-1,Age: 15-25 years,TOTAL,TOTAL,1938
2005-1,Age: 15-25 years,TOTAL,employed,785
2005-1,Age: 15-25 years,TOTAL,unemployed,115
2005-1,Age: 15-25 years,TOTAL,non labourforce,1038
2005-1,Age: 15-25 years,employed,TOTAL,714
2005-1,Age: 15-25 years,employed,employed,667
2005-1,Age: 15-25 years,employed,unemployed,16
2005-1,Age: 15-25 years,employed,non labourforce,31
2005-1,Age: 15-25 years,unemployed,TOTAL,111
2005-1,Age: 15-25 years,unemployed,employed,41
2005-1,Age: 15-25 years,unemployed,unemployed,38
2005-1,Age: 15-25 years,unemployed,non labourforce,33
2005-1,Age: 15-25 years,non labourforce,TOTAL,1112
2005-1,Age: 15-25 years,non labourforce,employed,78
2005-1,Age: 15-25 years,non labourforce,unemployed,60
2005-1,Age: 15-25 years,non labourforce,non labourforce,974
2005-1,Age: 25-45 years,TOTAL,TOTAL,4778
2005-1,Age: 25-45 years,TOTAL,employed,3775
2005-1,Age: 25-45 years,TOTAL,unemployed,235
2005-1,Age: 25-45 years,TOTAL,non labourforce,768
2005-1,Age: 25-45 years,employed,TOTAL,3748
2005-1,Age: 25-45 years,employed,employed,3688
2005-1,Age: 25-45 years,employed,unemployed,35
2005-1,Age: 25-45 years,employed,non labourforce,25
2005-1,Age: 25-45 years,unemployed,TOTAL,252
2005-1,Age: 25-45 years,unemployed,employed,51
2005-1,Age: 25-45 years,unemployed,unemployed,141
2005-1,Age: 25-45 years,unemployed,non labourforce,60
2005-1,Age: 25-45 years,non labourforce,TOTAL,778
2005-1,Age: 25-45 years,non labourforce,employed,36
2005-1,Age: 25-45 years,non labourforce,unemployed,59
2005-1,Age: 25-45 years,non labourforce,non labourforce,683
2005-1,Age: 45-65 years,TOTAL,TOTAL,4219
2005-1,Age: 45-65 years,TOTAL,employed,2399
2005-1,Age: 45-65 years,TOTAL,unemployed,144
2005-1,Age: 45-65 years,TOTAL,non labourforce,1676
2005-1,Age: 45-65 years,employed,TOTAL,2419
2005-1,Age: 45-65 years,employed,employed,2366
2005-1,Age: 45-65 years,employed,unemployed,14
2005-1,Age: 45-65 years,employed,non labourforce,38
2005-1,Age: 45-65 years,unemployed,TOTAL,146
2005-1,Age: 45-65 years,unemployed,employed,14
2005-1,Age: 45-65 years,unemployed,unemployed,96
2005-1,Age: 45-65 years,unemployed,non labourforce,36
2005-1,Age: 45-65 years,non labourforce,TOTAL,1654
2005-1,Age: 45-65 years,non labourforce,employed,18
2005-1,Age: 45-65 years,non labourforce,unemployed,34
2005-1,Age: 45-65 years,non labourforce,non labourforce,1602
2005-1,Education level: lower,TOTAL,TOTAL,3632
2005-1,Education level: lower,TOTAL,employed,1653
2005-1,Education level: lower,TOTAL,unemployed,191
2005-1,Education level: lower,TOTAL,non labourforce,1787
2005-1,Education level: lower,employed,TOTAL,1615
2005-1,Education level: lower,employed,employed,1560
2005-1,Education level: lower,employed,unemployed,19
2005-1,Education level: lower,employed,non labourforce,36
2005-1,Education level: lower,unemployed,TOTAL,188
2005-1,Education level: lower,unemployed,employed,37
2005-1,Education level: lower,unemployed,unemployed,98
2005-1,Education level: lower,unemployed,non labourforce,54
2005-1,Education level: lower,non labourforce,TOTAL,1828
2005-1,Education level: lower,non labourforce,employed,57
2005-1,Education level: lower,non labourforce,unemployed,74
2005-1,Education level: lower,non labourforce,non labourforce,1698
2005-1,Education level: middle,TOTAL,TOTAL,4508
2005-1,Education level: middle,TOTAL,employed,3077
2005-1,Education level: middle,TOTAL,unemployed,205
2005-1,Education level: middle,TOTAL,non labourforce,1226
2005-1,Education level: middle,employed,TOTAL,3049
2005-1,Education level: middle,employed,employed,2978
2005-1,Education level: middle,employed,unemployed,29
2005-1,Education level: middle,employed,non labourforce,42
2005-1,Education level: middle,unemployed,TOTAL,210
2005-1,Education level: middle,unemployed,employed,45
2005-1,Education level: middle,unemployed,unemployed,118
2005-1,Education level: middle,unemployed,non labourforce,47
2005-1,Education level: middle,non labourforce,TOTAL,1249
2005-1,Education level: middle,non labourforce,employed,54
2005-1,Education level: middle,non labourforce,unemployed,58
2005-1,Education level: middle,non labourforce,non labourforce,1137
2005-1,Education level: higher,TOTAL,TOTAL,2689
2005-1,Education level: higher,TOTAL,employed,2166
2005-1,Education level: higher,TOTAL,unemployed,90
2005-1,Education level: higher,TOTAL,non labourforce,433
2005-1,Education level: higher,employed,TOTAL,2156
2005-1,Education level: higher,employed,employed,2124
2005-1,Education level: higher,employed,unemployed,16
2005-1,Education level: higher,employed,non labourforce,16
2005-1,Education level: higher,unemployed,TOTAL,103
2005-1,Education level: higher,unemployed,employed,23
2005-1,Education level: higher,unemployed,unemployed,55
2005-1,Education level: higher,unemployed,non labourforce,25
2005-1,Education level: higher,non labourforce,TOTAL,430
2005-1,Education level: higher,non labourforce,employed,19
2005-1,Education level: higher,non labourforce,unemployed,20
2005-1,Education level: higher,non labourforce,non labourforce,391
2005-1,Education level: unknown,TOTAL,TOTAL,107
2005-1,Education level: unknown,TOTAL,employed,63
2005-1,Education level: unknown,TOTAL,unemployed,6
2005-1,Education level: unknown,TOTAL,non labourforce,37
2005-1,Education level: unknown,employed,TOTAL,62
2005-1,Education level: unknown,employed,employed,59
2005-1,Education level: unknown,employed,unemployed,
2005-1,Education level: unknown,employed,non labourforce,2
2005-1,Education level: unknown,unemployed,TOTAL,8
2005-1,Education level: unknown,unemployed,employed,2
2005-1,Education level: unknown,unemployed,unemployed,4
2005-1,Education level: unknown,unemployed,non labourforce,3
2005-1,Education level: unknown,non labourforce,TOTAL,37
2005-1,Education level: unknown,non labourforce,employed,2
2005-1,Education level: unknown,non labourforce,unemployed,
2005-1,Education level: unknown,non labourforce,non labourforce,33
2005-1,Job level: elementary,TOTAL,TOTAL,520
2005-1,Job level: elementary,TOTAL,employed,491
2005-1,Job level: elementary,TOTAL,unemployed,11
2005-1,Job level: elementary,TOTAL,non labourforce,18
2005-1,Job level: elementary,employed,TOTAL,472
2005-1,Job level: elementary,employed,employed,443
2005-1,Job level: elementary,employed,unemployed,11
2005-1,Job level: elementary,employed,non labourforce,18
2005-1,Job level: elementary,unemployed,TOTAL,20
2005-1,Job level: elementary,unemployed,employed,20
2005-1,Job level: elementary,unemployed,unemployed,
2005-1,Job level: elementary,unemployed,non labourforce,
2005-1,Job level: elementary,non labourforce,TOTAL,28
2005-1,Job level: elementary,non labourforce,employed,28
2005-1,Job level: elementary,non labourforce,unemployed,
2005-1,Job level: elementary,non labourforce,non labourforce,
2005-1,Job level: lower,TOTAL,TOTAL,1793
2005-1,Job level: lower,TOTAL,employed,1737
2005-1,Job level: lower,TOTAL,unemployed,23
2005-1,Job level: lower,TOTAL,non labourforce,32
2005-1,Job level: lower,employed,TOTAL,1697
2005-1,Job level: lower,employed,employed,1641
2005-1,Job level: lower,employed,unemployed,23
2005-1,Job level: lower,employed,non labourforce,32
2005-1,Job level: lower,unemployed,TOTAL,43
2005-1,Job level: lower,unemployed,employed,43
2005-1,Job level: lower,unemployed,unemployed,
2005-1,Job level: lower,unemployed,non labourforce,
2005-1,Job level: lower,non labourforce,TOTAL,52
2005-1,Job level: lower,non labourforce,employed,52
2005-1,Job level: lower,non labourforce,unemployed,
2005-1,Job level: lower,non labourforce,non labourforce,
2005-1,Job level: middle,TOTAL,TOTAL,2713
2005-1,Job level: middle,TOTAL,employed,2667
2005-1,Job level: middle,TOTAL,unemployed,18
2005-1,Job level: middle,TOTAL,non labourforce,28
2005-1,Job level: middle,employed,TOTAL,2659
2005-1,Job level: middle,employed,employed,2613
2005-1,Job level: middle,employed,unemployed,18
2005-1,Job level: middle,employed,non labourforce,28
2005-1,Job level: middle,unemployed,TOTAL,23
2005-1,Job level: middle,unemployed,employed,23
2005-1,Job level: middle,unemployed,unemployed,
2005-1,Job level: middle,unemployed,non labourforce,
2005-1,Job level: middle,non labourforce,TOTAL,31
2005-1,Job level: middle,non labourforce,employed,31
2005-1,Job level: middle,non labourforce,unemployed,
2005-1,Job level: middle,non labourforce,non labourforce,
2005-1,Job level: higher,TOTAL,TOTAL,1535
2005-1,Job level: higher,TOTAL,employed,1514
2005-1,Job level: higher,TOTAL,unemployed,9
2005-1,Job level: higher,TOTAL,non labourforce,12
2005-1,Job level: higher,employed,TOTAL,1508
2005-1,Job level: higher,employed,employed,1487
2005-1,Job level: higher,employed,unemployed,9
2005-1,Job level: higher,employed,non labourforce,12
2005-1,Job level: higher,unemployed,TOTAL,12
2005-1,Job level: higher,unemployed,employed,12
2005-1,Job level: higher,unemployed,unemployed,
2005-1,Job level: higher,unemployed,non labourforce,
2005-1,Job level: higher,non labourforce,TOTAL,15
2005-1,Job level: higher,non labourforce,employed,15
2005-1,Job level: higher,non labourforce,unemployed,
2005-1,Job level: higher,non labourforce,non labourforce,
2005-1,Job level: scientific,TOTAL,TOTAL,525
2005-1,Job level: scientific,TOTAL,employed,518
2005-1,Job level: scientific,TOTAL,unemployed,3
2005-1,Job level: scientific,TOTAL,non labourforce,4
2005-1,Job level: scientific,employed,TOTAL,519
2005-1,Job level: scientific,employed,employed,512
2005-1,Job level: scientific,employed,unemployed,3
2005-1,Job level: scientific,employed,non labourforce,4
2005-1,Job level: scientific,unemployed,TOTAL,4
2005-1,Job level: scientific,unemployed,employed,4
2005-1,Job level: scientific,unemployed,unemployed,
2005-1,Job level: scientific,unemployed,non labourforce,
2005-1,Job level: scientific,non labourforce,TOTAL,2
2005-1,Job level: scientific,non labourforce,employed,2
2005-1,Job level: scientific,non labourforce,unemployed,
2005-1,Job level: scientific,non labourforce,non labourforce,
2005-2,TOTAL,TOTAL,TOTAL,10938
2005-2,TOTAL,TOTAL,employed,7042
2005-2,TOTAL,TOTAL,unemployed,476
2005-2,TOTAL,TOTAL,non labourforce,3421
2005-2,TOTAL,employed,TOTAL,6959
2005-2,TOTAL,employed,employed,6759
2005-2,TOTAL,employed,unemployed,73
2005-2,TOTAL,employed,non labourforce,127
2005-2,TOTAL,unemployed,TOTAL,493
2005-2,TOTAL,unemployed,employed,100
2005-2,TOTAL,unemployed,unemployed,256
2005-2,TOTAL,unemployed,non labourforce,137
2005-2,TOTAL,non labourforce,TOTAL,3486
2005-2,TOTAL,non labourforce,employed,182
2005-2,TOTAL,non labourforce,unemployed,147
2005-2,TOTAL,non labourforce,non labourforce,3156
2005-2,Gender: male,TOTAL,TOTAL,5517
2005-2,Gender: male,TOTAL,employed,4116
2005-2,Gender: male,TOTAL,unemployed,230
2005-2,Gender: male,TOTAL,non labourforce,1170
2005-2,Gender: male,employed,TOTAL,4074
2005-2,Gender: male,employed,employed,3976
2005-2,Gender: male,employed,unemployed,36
2005-2,Gender: male,employed,non labourforce,63
2005-2,Gender: male,unemployed,TOTAL,256
2005-2,Gender: male,unemployed,employed,59
2005-2,Gender: male,unemployed,unemployed,142
2005-2,Gender: male,unemployed,non labourforce,54
2005-2,Gender: male,non labourforce,TOTAL,1187
2005-2,Gender: male,non labourforce,employed,81
2005-2,Gender: male,non labourforce,unemployed,53
2005-2,Gender: male,non labourforce,non labourforce,1054
2005-2,Gender: female,TOTAL,TOTAL,5422
2005-2,Gender: female,TOTAL,employed,2926
2005-2,Gender: female,TOTAL,unemployed,246
2005-2,Gender: female,TOTAL,non labourforce,2250
2005-2,Gender: female,employed,TOTAL,2885
2005-2,Gender: female,employed,employed,2784
2005-2,Gender: female,employed,unemployed,37
2005-2,Gender: female,employed,non labourforce,65
2005-2,Gender: female,unemployed,TOTAL,238
2005-2,Gender: female,unemployed,employed,41
2005-2,Gender: female,unemployed,unemployed,114
2005-2,Gender: female,unemployed,non labourforce,83
2005-2,Gender: female,non labourforce,TOTAL,2298
2005-2,Gender: female,non labourforce,employed,102
2005-2,Gender: female,non labourforce,unemployed,94
2005-2,Gender: female,non labourforce,non labourforce,2103
2005-2,Age: 15-25 years,TOTAL,TOTAL,1948
2005-2,Age: 15-25 years,TOTAL,employed,835
2005-2,Age: 15-25 years,TOTAL,unemployed,115
2005-2,Age: 15-25 years,TOTAL,non labourforce,999
2005-2,Age: 15-25 years,employed,TOTAL,744
2005-2,Age: 15-25 years,employed,employed,666
2005-2,Age: 15-25 years,employed,unemployed,19
2005-2,Age: 15-25 years,employed,non labourforce,59
2005-2,Age: 15-25 years,unemployed,TOTAL,108
2005-2,Age: 15-25 years,unemployed,employed,36
2005-2,Age: 15-25 years,unemployed,unemployed,36
2005-2,Age: 15-25 years,unemployed,non labourforce,36
2005-2,Age: 15-25 years,non labourforce,TOTAL,1096
2005-2,Age: 15-25 years,non labourforce,employed,133
2005-2,Age: 15-25 years,non labourforce,unemployed,60
2005-2,Age: 15-25 years,non labourforce,non labourforce,903
2005-2,Age: 25-45 years,TOTAL,TOTAL,4756
2005-2,Age: 25-45 years,TOTAL,employed,3792
2005-2,Age: 25-45 years,TOTAL,unemployed,225
2005-2,Age: 25-45 years,TOTAL,non labourforce,740
2005-2,Age: 25-45 years,employed,TOTAL,3780
2005-2,Age: 25-45 years,employed,employed,3711
2005-2,Age: 25-45 years,employed,unemployed,38
2005-2,Age: 25-45 years,employed,non labourforce,32
2005-2,Age: 25-45 years,unemployed,TOTAL,238
2005-2,Age: 25-45 years,unemployed,employed,49
2005-2,Age: 25-45 years,unemployed,unemployed,128
2005-2,Age: 25-45 years,unemployed,non labourforce,61
2005-2,Age: 25-45 years,non labourforce,TOTAL,738
2005-2,Age: 25-45 years,non labourforce,employed,32
2005-2,Age: 25-45 years,non labourforce,unemployed,59
2005-2,Age: 25-45 years,non labourforce,non labourforce,647
2005-2,Age: 45-65 years,TOTAL,TOTAL,4233
2005-2,Age: 45-65 years,TOTAL,employed,2415
2005-2,Age: 45-65 years,TOTAL,unemployed,136
2005-2,Age: 45-65 years,TOTAL,non labourforce,1682
2005-2,Age: 45-65 years,employed,TOTAL,2435
2005-2,Age: 45-65 years,employed,employed,2383
2005-2,Age: 45-65 years,employed,unemployed,16
2005-2,Age: 45-65 years,employed,non labourforce,36
2005-2,Age: 45-65 years,unemployed,TOTAL,147
2005-2,Age: 45-65 years,unemployed,employed,15
2005-2,Age: 45-65 years,unemployed,unemployed,92
2005-2,Age: 45-65 years,unemployed,non labourforce,40
2005-2,Age: 45-65 years,non labourforce,TOTAL,1652
2005-2,Age: 45-65 years,non labourforce,employed,17
2005-2,Age: 45-65 years,non labourforce,unemployed,28
2005-2,Age: 45-65 years,non labourforce,non labourforce,1606
2005-2,Education level: lower,TOTAL,TOTAL,3648
2005-2,Education level: lower,TOTAL,employed,1706
2005-2,Education level: lower,TOTAL,unemployed,177
2005-2,Education level: lower,TOTAL,non labourforce,1766
2005-2,Education level: lower,employed,TOTAL,1646
2005-2,Education level: lower,employed,employed,1575
2005-2,Education level: lower,employed,unemployed,25
2005-2,Education level: lower,employed,non labourforce,47
2005-2,Education level: lower,unemployed,TOTAL,186
2005-2,Education level: lower,unemployed,employed,37
2005-2,Education level: lower,unemployed,unemployed,91
2005-2,Education level: lower,unemployed,non labourforce,58
2005-2,Education level: lower,non labourforce,TOTAL,1816
2005-2,Education level: lower,non labourforce,employed,94
2005-2,Education level: lower,non labourforce,unemployed,61
2005-2,Education level: lower,non labourforce,non labourforce,1661
2005-2,Education level: middle,TOTAL,TOTAL,4499
2005-2,Education level: middle,TOTAL,employed,3111
2005-2,Education level: middle,TOTAL,unemployed,196
2005-2,Education level: middle,TOTAL,non labourforce,1192
2005-2,Education level: middle,employed,TOTAL,3086
2005-2,Education level: middle,employed,employed,3005
2005-2,Education level: middle,employed,unemployed,28
2005-2,Education level: middle,employed,non labourforce,53
2005-2,Education level: middle,unemployed,TOTAL,204
2005-2,Education level: middle,unemployed,employed,42
2005-2,Education level: middle,unemployed,unemployed,105
2005-2,Education level: middle,unemployed,non labourforce,57
2005-2,Education level: middle,non labourforce,TOTAL,1209
2005-2,Education level: middle,non labourforce,employed,64
2005-2,Education level: middle,non labourforce,unemployed,63
2005-2,Education level: middle,non labourforce,non labourforce,1082
2005-2,Education level: higher,TOTAL,TOTAL,2691
2005-2,Education level: higher,TOTAL,employed,2166
2005-2,Education level: higher,TOTAL,unemployed,97
2005-2,Education level: higher,TOTAL,non labourforce,428
2005-2,Education level: higher,employed,TOTAL,2170
2005-2,Education level: higher,employed,employed,2125
2005-2,Education level: higher,employed,unemployed,19
2005-2,Education level: higher,employed,non labourforce,26
2005-2,Education level: higher,unemployed,TOTAL,96
2005-2,Education level: higher,unemployed,employed,19
2005-2,Education level: higher,unemployed,unemployed,57
2005-2,Education level: higher,unemployed,non labourforce,20
2005-2,Education level: higher,non labourforce,TOTAL,425
2005-2,Education level: higher,non labourforce,employed,22
2005-2,Education level: higher,non labourforce,unemployed,20
2005-2,Education level: higher,non labourforce,non labourforce,382
2005-2,Education level: unknown,TOTAL,TOTAL,100
2005-2,Education level: unknown,TOTAL,employed,59
2005-2,Education level: unknown,TOTAL,unemployed,6
2005-2,Education level: unknown,TOTAL,non labourforce,35
2005-2,Education level: unknown,employed,TOTAL,57
2005-2,Education level: unknown,employed,employed,55
2005-2,Education level: unknown,employed,unemployed,
2005-2,Education level: unknown,employed,non labourforce,
2005-2,Education level: unknown,unemployed,TOTAL,7
2005-2,Education level: unknown,unemployed,employed,2
2005-2,Education level: unknown,unemployed,unemployed,3
2005-2,Education level: unknown,unemployed,non labourforce,2
2005-2,Education level: unknown,non labourforce,TOTAL,36
2005-2,Education level: unknown,non labourforce,employed,2
2005-2,Education level: unknown,non labourforce,unemployed,3
2005-2,Education level: unknown,non labourforce,non labourforce,31
2005-2,Job level: elementary,TOTAL,TOTAL,567
2005-2,Job level: elementary,TOTAL,employed,528
2005-2,Job level: elementary,TOTAL,unemployed,15
2005-2,Job level: elementary,TOTAL,non labourforce,24
2005-2,Job level: elementary,employed,TOTAL,505
2005-2,Job level: elementary,employed,employed,467
2005-2,Job level: elementary,employed,unemployed,15
2005-2,Job level: elementary,employed,non labourforce,24
2005-2,Job level: elementary,unemployed,TOTAL,17
2005-2,Job level: elementary,unemployed,employed,17
2005-2,Job level: elementary,unemployed,unemployed,
2005-2,Job level: elementary,unemployed,non labourforce,
2005-2,Job level: elementary,non labourforce,TOTAL,45
2005-2,Job level: elementary,non labourforce,employed,45
2005-2,Job level: elementary,non labourforce,unemployed,
2005-2,Job level: elementary,non labourforce,non labourforce,
2005-2,Job level: lower,TOTAL,TOTAL,1831
2005-2,Job level: lower,TOTAL,employed,1762
2005-2,Job level: lower,TOTAL,unemployed,23
2005-2,Job level: lower,TOTAL,non labourforce,46
2005-2,Job level: lower,employed,TOTAL,1710
2005-2,Job level: lower,employed,employed,1640
2005-2,Job level: lower,employed,unemployed,23
2005-2,Job level: lower,employed,non labourforce,46
2005-2,Job level: lower,unemployed,TOTAL,45
2005-2,Job level: lower,unemployed,employed,45
2005-2,Job level: lower,unemployed,unemployed,
2005-2,Job level: lower,unemployed,non labourforce,
2005-2,Job level: lower,non labourforce,TOTAL,77
2005-2,Job level: lower,non labourforce,employed,77
2005-2,Job level: lower,non labourforce,unemployed,
2005-2,Job level: lower,non labourforce,non labourforce,
2005-2,Job level: middle,TOTAL,TOTAL,2747
2005-2,Job level: middle,TOTAL,employed,2699
2005-2,Job level: middle,TOTAL,unemployed,17
2005-2,Job level: middle,TOTAL,non labourforce,31
2005-2,Job level: middle,employed,TOTAL,2692
2005-2,Job level: middle,employed,employed,2644
2005-2,Job level: middle,employed,unemployed,17
2005-2,Job level: middle,employed,non labourforce,31
2005-2,Job level: middle,unemployed,TOTAL,20
2005-2,Job level: middle,unemployed,employed,20
2005-2,Job level: middle,unemployed,unemployed,
2005-2,Job level: middle,unemployed,non labourforce,
2005-2,Job level: middle,non labourforce,TOTAL,35
2005-2,Job level: middle,non labourforce,employed,35
2005-2,Job level: middle,non labourforce,unemployed,
2005-2,Job level: middle,non labourforce,non labourforce,
2005-2,Job level: higher,TOTAL,TOTAL,1494
2005-2,Job level: higher,TOTAL,employed,1463
2005-2,Job level: higher,TOTAL,unemployed,12
2005-2,Job level: higher,TOTAL,non labourforce,18
2005-2,Job level: higher,employed,TOTAL,1463
2005-2,Job level: higher,employed,employed,1432
2005-2,Job level: higher,employed,unemployed,12
2005-2,Job level: higher,employed,non labourforce,18
2005-2,Job level: higher,unemployed,TOTAL,12
2005-2,Job level: higher,unemployed,employed,12
2005-2,Job level: higher,unemployed,unemployed,
2005-2,Job level: higher,unemployed,non labourforce,
2005-2,Job level: higher,non labourforce,TOTAL,19
2005-2,Job level: higher,non labourforce,employed,19
2005-2,Job level: higher,non labourforce,unemployed,
2005-2,Job level: higher,non labourforce,non labourforce,
2005-2,Job level: scientific,TOTAL,TOTAL,554
2005-2,Job level: scientific,TOTAL,employed,543
2005-2,Job level: scientific,TOTAL,unemployed,6
2005-2,Job level: scientific,TOTAL,non labourforce,5
2005-2,Job level: scientific,employed,TOTAL,548
2005-2,Job level: scientific,employed,employed,537
2005-2,Job level: scientific,employed,unemployed,6
2005-2,Job level: scientific,employed,non labourforce,5
2005-2,Job level: scientific,unemployed,TOTAL,2
2005-2,Job level: scientific,unemployed,employed,2
2005-2,Job level: scientific,unemployed,unemployed,
2005-2,Job level: scientific,unemployed,non labourforce,
2005-2,Job level: scientific,non labourforce,TOTAL,4
2005-2,Job level: scientific,non labourforce,employed,4
2005-2,Job level: scientific,non labourforce,unemployed,
2005-2,Job level: scientific,non labourforce,non labourforce,
2005-3,TOTAL,TOTAL,TOTAL,10941
2005-3,TOTAL,TOTAL,employed,7010
2005-3,TOTAL,TOTAL,unemployed,448
2005-3,TOTAL,TOTAL,non labourforce,3483
2005-3,TOTAL,employed,TOTAL,7042
2005-3,TOTAL,employed,employed,6785
2005-3,TOTAL,employed,unemployed,69
2005-3,TOTAL,employed,non labourforce,187
2005-3,TOTAL,unemployed,TOTAL,476
2005-3,TOTAL,unemployed,employed,101
2005-3,TOTAL,unemployed,unemployed,235
2005-3,TOTAL,unemployed,non labourforce,139
2005-3,TOTAL,non labourforce,TOTAL,3424
2005-3,TOTAL,non labourforce,employed,124
2005-3,TOTAL,non labourforce,unemployed,144
2005-3,TOTAL,non labourforce,non labourforce,3156
2005-3,Gender: male,TOTAL,TOTAL,5518
2005-3,Gender: male,TOTAL,employed,4059
2005-3,Gender: male,TOTAL,unemployed,214
2005-3,Gender: male,TOTAL,non labourforce,1245
2005-3,Gender: male,employed,TOTAL,4084
2005-3,Gender: male,employed,employed,3952
2005-3,Gender: male,employed,unemployed,39
2005-3,Gender: male,employed,non labourforce,92
2005-3,Gender: male,unemployed,TOTAL,231
2005-3,Gender: male,unemployed,employed,46
2005-3,Gender: male,unemployed,unemployed,124
2005-3,Gender: male,unemployed,non labourforce,61
2005-3,Gender: male,non labourforce,TOTAL,1203
2005-3,Gender: male,non labourforce,employed,60
2005-3,Gender: male,non labourforce,unemployed,51
2005-3,Gender: male,non labourforce,non labourforce,1092
2005-3,Gender: female,TOTAL,TOTAL,5423
2005-3,Gender: female,TOTAL,employed,2952
2005-3,Gender: female,TOTAL,unemployed,234
2005-3,Gender: female,TOTAL,non labourforce,2238
2005-3,Gender: female,employed,TOTAL,2958
2005-3,Gender: female,employed,employed,2833
2005-3,Gender: female,employed,unemployed,30
2005-3,Gender: female,employed,non labourforce,95
2005-3,Gender: female,unemployed,TOTAL,245
2005-3,Gender: female,unemployed,employed,55
2005-3,Gender: female,unemployed,unemployed,112
2005-3,Gender: female,unemployed,non labourforce,78
2005-3,Gender: female,non labourforce,TOTAL,2221
2005-3,Gender: female,non labourforce,employed,64
2005-3,Gender: female,non labourforce,unemployed,92
2005-3,Gender: female,non labourforce,non labourforce,2065
2005-3,Age: 15-25 years,TOTAL,TOTAL,1939
2005-3,Age: 15-25 years,TOTAL,employed,779
2005-3,Age: 15-25 years,TOTAL,unemployed,84
2005-3,Age: 15-25 years,TOTAL,non labourforce,1076
2005-3,Age: 15-25 years,employed,TOTAL,804
2005-3,Age: 15-25 years,employed,employed,677
2005-3,Age: 15-25 years,employed,unemployed,18
2005-3,Age: 15-25 years,employed,non labourforce,110
2005-3,Age: 15-25 years,unemployed,TOTAL,110
2005-3,Age: 15-25 years,unemployed,employed,34
2005-3,Age: 15-25 years,unemployed,unemployed,29
2005-3,Age: 15-25 years,unemployed,non labourforce,47
2005-3,Age: 15-25 years,non labourforce,TOTAL,1025
2005-3,Age: 15-25 years,non labourforce,employed,68
2005-3,Age: 15-25 years,non labourforce,unemployed,37
2005-3,Age: 15-25 years,non labourforce,non labourforce,920
2005-3,Age: 25-45 years,TOTAL,TOTAL,4750
2005-3,Age: 25-45 years,TOTAL,employed,3799
2005-3,Age: 25-45 years,TOTAL,unemployed,218
2005-3,Age: 25-45 years,TOTAL,non labourforce,734
2005-3,Age: 25-45 years,employed,TOTAL,3778
2005-3,Age: 25-45 years,employed,employed,3713
2005-3,Age: 25-45 years,employed,unemployed,32
2005-3,Age: 25-45 years,employed,non labourforce,33
2005-3,Age: 25-45 years,unemployed,TOTAL,227
2005-3,Age: 25-45 years,unemployed,employed,53
2005-3,Age: 25-45 years,unemployed,unemployed,115
2005-3,Age: 25-45 years,unemployed,non labourforce,59
2005-3,Age: 25-45 years,non labourforce,TOTAL,746
2005-3,Age: 25-45 years,non labourforce,employed,32
