"Van";"Naar";"Persoonskenmerken";"Perioden";"Waarde eenheid";"Waarde"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2008 2e kwartaal";"x 1 000";"4"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2008 3e kwartaal";"x 1 000";"5"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2008 4e kwartaal";"x 1 000";"3"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2009 1e kwartaal";"x 1 000";"6"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2009 2e kwartaal";"x 1 000";"6"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2009 3e kwartaal";"x 1 000";"7"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2009 4e kwartaal";"x 1 000";"6"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2010 1e kwartaal";"x 1 000";"4"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2010 2e kwartaal";"x 1 000";"5"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2010 3e kwartaal";"x 1 000";"2"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2010 4e kwartaal";"x 1 000";"6"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2011 1e kwartaal";"x 1 000";"4"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"Beroepsniveau: Wetenschappelijk";"2011 2e kwartaal";"x 1 000";"8"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2003 1e kwartaal";"x 1 000";"3542"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2003 2e kwartaal";"x 1 000";"3470"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2003 3e kwartaal";"x 1 000";"3544"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2003 4e kwartaal";"x 1 000";"3531"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2004 1e kwartaal";"x 1 000";"3497"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2004 2e kwartaal";"x 1 000";"3452"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2004 3e kwartaal";"x 1 000";"3534"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2004 4e kwartaal";"x 1 000";"3541"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2005 1e kwartaal";"x 1 000";"3483"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2005 2e kwartaal";"x 1 000";"3421"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2005 3e kwartaal";"x 1 000";"3483"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2005 4e kwartaal";"x 1 000";"3484"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2006 1e kwartaal";"x 1 000";"3470"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2006 2e kwartaal";"x 1 000";"3393"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2006 3e kwartaal";"x 1 000";"3412"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2006 4e kwartaal";"x 1 000";"3382"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2007 1e kwartaal";"x 1 000";"3321"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2007 2e kwartaal";"x 1 000";"3240"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2007 3e kwartaal";"x 1 000";"3298"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2007 4e kwartaal";"x 1 000";"3251"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2008 1e kwartaal";"x 1 000";"3185"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2008 2e kwartaal";"x 1 000";"3129"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2008 3e kwartaal";"x 1 000";"3186"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2008 4e kwartaal";"x 1 000";"3166"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2009 1e kwartaal";"x 1 000";"3149"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2009 2e kwartaal";"x 1 000";"3124"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2009 3e kwartaal";"x 1 000";"3226"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2009 4e kwartaal";"x 1 000";"3234"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2010 1e kwartaal";"x 1 000";"3208"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2010 2e kwartaal";"x 1 000";"3151"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2010 3e kwartaal";"x 1 000";"3202"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2010 4e kwartaal";"x 1 000";"3244"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2011 1e kwartaal";"x 1 000";"3242"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen en vrouwen";"2011 2e kwartaal";"x 1 000";"3144"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2003 1e kwartaal";"x 1 000";"1192"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2003 2e kwartaal";"x 1 000";"1170"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2003 3e kwartaal";"x 1 000";"1190"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2003 4e kwartaal";"x 1 000";"1190"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2004 1e kwartaal";"x 1 000";"1175"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2004 2e kwartaal";"x 1 000";"1174"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2004 3e kwartaal";"x 1 000";"1213"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2004 4e kwartaal";"x 1 000";"1236"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2005 1e kwartaal";"x 1 000";"1182"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2005 2e kwartaal";"x 1 000";"1170"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2005 3e kwartaal";"x 1 000";"1245"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2005 4e kwartaal";"x 1 000";"1239"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2006 1e kwartaal";"x 1 000";"1230"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2006 2e kwartaal";"x 1 000";"1191"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2006 3e kwartaal";"x 1 000";"1204"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2006 4e kwartaal";"x 1 000";"1208"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2007 1e kwartaal";"x 1 000";"1170"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2007 2e kwartaal";"x 1 000";"1137"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2007 3e kwartaal";"x 1 000";"1172"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2007 4e kwartaal";"x 1 000";"1159"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2008 1e kwartaal";"x 1 000";"1110"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2008 2e kwartaal";"x 1 000";"1091"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2008 3e kwartaal";"x 1 000";"1132"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2008 4e kwartaal";"x 1 000";"1121"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2009 1e kwartaal";"x 1 000";"1114"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2009 2e kwartaal";"x 1 000";"1115"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2009 3e kwartaal";"x 1 000";"1183"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2009 4e kwartaal";"x 1 000";"1196"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2010 1e kwartaal";"x 1 000";"1195"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2010 2e kwartaal";"x 1 000";"1161"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2010 3e kwartaal";"x 1 000";"1197"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2010 4e kwartaal";"x 1 000";"1215"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2011 1e kwartaal";"x 1 000";"1209"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Mannen";"2011 2e kwartaal";"x 1 000";"1158"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2003 1e kwartaal";"x 1 000";"2350"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2003 2e kwartaal";"x 1 000";"2300"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2003 3e kwartaal";"x 1 000";"2354"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2003 4e kwartaal";"x 1 000";"2341"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2004 1e kwartaal";"x 1 000";"2322"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2004 2e kwartaal";"x 1 000";"2278"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2004 3e kwartaal";"x 1 000";"2321"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2004 4e kwartaal";"x 1 000";"2305"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2005 1e kwartaal";"x 1 000";"2301"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2005 2e kwartaal";"x 1 000";"2250"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2005 3e kwartaal";"x 1 000";"2238"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2005 4e kwartaal";"x 1 000";"2246"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2006 1e kwartaal";"x 1 000";"2240"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2006 2e kwartaal";"x 1 000";"2203"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2006 3e kwartaal";"x 1 000";"2208"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2006 4e kwartaal";"x 1 000";"2174"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2007 1e kwartaal";"x 1 000";"2151"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2007 2e kwartaal";"x 1 000";"2103"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2007 3e kwartaal";"x 1 000";"2126"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2007 4e kwartaal";"x 1 000";"2092"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2008 1e kwartaal";"x 1 000";"2075"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2008 2e kwartaal";"x 1 000";"2038"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2008 3e kwartaal";"x 1 000";"2053"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2008 4e kwartaal";"x 1 000";"2045"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2009 1e kwartaal";"x 1 000";"2036"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2009 2e kwartaal";"x 1 000";"2010"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2009 3e kwartaal";"x 1 000";"2043"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2009 4e kwartaal";"x 1 000";"2038"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2010 1e kwartaal";"x 1 000";"2013"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2010 2e kwartaal";"x 1 000";"1990"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2010 3e kwartaal";"x 1 000";"2006"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2010 4e kwartaal";"x 1 000";"2029"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2011 1e kwartaal";"x 1 000";"2033"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Geslacht: Vrouwen";"2011 2e kwartaal";"x 1 000";"1986"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2003 1e kwartaal";"x 1 000";"992"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2003 2e kwartaal";"x 1 000";"925"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2003 3e kwartaal";"x 1 000";"1023"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2003 4e kwartaal";"x 1 000";"1016"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2004 1e kwartaal";"x 1 000";"1013"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2004 2e kwartaal";"x 1 000";"970"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2004 3e kwartaal";"x 1 000";"1067"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2004 4e kwartaal";"x 1 000";"1082"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2005 1e kwartaal";"x 1 000";"1038"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2005 2e kwartaal";"x 1 000";"999"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2005 3e kwartaal";"x 1 000";"1076"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2005 4e kwartaal";"x 1 000";"1087"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2006 1e kwartaal";"x 1 000";"1077"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2006 2e kwartaal";"x 1 000";"1006"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2006 3e kwartaal";"x 1 000";"1076"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2006 4e kwartaal";"x 1 000";"1084"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2007 1e kwartaal";"x 1 000";"1050"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2007 2e kwartaal";"x 1 000";"978"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2007 3e kwartaal";"x 1 000";"1076"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2007 4e kwartaal";"x 1 000";"1079"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2008 1e kwartaal";"x 1 000";"1030"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2008 2e kwartaal";"x 1 000";"987"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2008 3e kwartaal";"x 1 000";"1059"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2008 4e kwartaal";"x 1 000";"1069"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2009 1e kwartaal";"x 1 000";"1057"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2009 2e kwartaal";"x 1 000";"1015"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2009 3e kwartaal";"x 1 000";"1117"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2009 4e kwartaal";"x 1 000";"1125"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2010 1e kwartaal";"x 1 000";"1127"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2010 2e kwartaal";"x 1 000";"1090"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2010 3e kwartaal";"x 1 000";"1153"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2010 4e kwartaal";"x 1 000";"1175"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2011 1e kwartaal";"x 1 000";"1149"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 15 tot 25 jaar";"2011 2e kwartaal";"x 1 000";"1067"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2003 1e kwartaal";"x 1 000";"845"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2003 2e kwartaal";"x 1 000";"819"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2003 3e kwartaal";"x 1 000";"805"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2003 4e kwartaal";"x 1 000";"797"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2004 1e kwartaal";"x 1 000";"791"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2004 2e kwartaal";"x 1 000";"790"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2004 3e kwartaal";"x 1 000";"780"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2004 4e kwartaal";"x 1 000";"775"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2005 1e kwartaal";"x 1 000";"768"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2005 2e kwartaal";"x 1 000";"740"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2005 3e kwartaal";"x 1 000";"734"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2005 4e kwartaal";"x 1 000";"715"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2006 1e kwartaal";"x 1 000";"722"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2006 2e kwartaal";"x 1 000";"727"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2006 3e kwartaal";"x 1 000";"683"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2006 4e kwartaal";"x 1 000";"672"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2007 1e kwartaal";"x 1 000";"670"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2007 2e kwartaal";"x 1 000";"666"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2007 3e kwartaal";"x 1 000";"646"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2007 4e kwartaal";"x 1 000";"617"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"Leeftijd: 25 tot 45 jaar";"2008 1e kwartaal";"x 1 000";"590"
