"Perioden";"Persoonskenmerken";"Onderwerpen_1";"Arbeidspositie einde periode";"Waarde eenheid";"Waarde"
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"537"
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"6"
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"5"
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2"
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2"
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"."
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"."
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"4"
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"4"
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"."
"2005 2e kwartaal";"Beroepsniveau: Wetenschappelijk";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"."
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"10941"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"7010"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"448"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"3483"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"7042"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"6785"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"69"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"187"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"476"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"101"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"235"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"139"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"3424"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"124"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"144"
"2005 3e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"3156"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"5518"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"4059"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"214"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"1245"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"4084"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"3952"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"39"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"92"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"231"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"46"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"124"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"61"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1203"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"60"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"51"
"2005 3e kwartaal";"Geslacht: Mannen";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"1092"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"5423"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2952"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"234"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"2238"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2958"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2833"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"30"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"95"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"245"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"55"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"112"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"78"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2221"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"64"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"92"
"2005 3e kwartaal";"Geslacht: Vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"2065"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1939"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"779"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"84"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"1076"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"804"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"677"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"18"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"110"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"110"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"34"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"29"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"47"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1025"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"68"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"37"
"2005 3e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"920"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"4750"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"3799"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"218"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"734"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"3778"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"3713"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"32"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"33"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"227"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"53"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"115"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"59"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"746"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"32"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"71"
"2005 3e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"643"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"4252"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2432"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"147"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"1672"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2460"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2395"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"20"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"45"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"139"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"14"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"91"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"34"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1653"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"23"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"36"
"2005 3e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"1594"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"3560"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"1627"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"162"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"1772"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1660"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"1559"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"22"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"79"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"167"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"26"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"82"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"58"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1734"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"42"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"57"
"2005 3e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"1635"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"4560"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"3128"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"186"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"1245"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"3128"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"3022"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"30"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"76"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"199"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"46"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"97"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"56"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1232"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"60"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"59"
"2005 3e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"1113"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2720"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2193"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"95"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"431"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2192"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2146"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"16"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"30"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"104"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"27"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"53"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"24"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"424"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"20"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"26"
"2005 3e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"377"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"102"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"62"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"5"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"35"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"61"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"58"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"."
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"2"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"6"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"3"
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"."
"2005 3e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"34"
